'Page Number,'Type,'Text,'Confidence Score % (Line),
"'1","'LINE","'36.1. DESCRIPTION","'94.63655090"
"'1","'LINE","'CHAPTER 36. PERLDIAG","'95.97920227"
"'1","'LINE","'Ambiguous call resolved as CORE::%s(), qualify as such or use &","'97.82269287"
"'1","'LINE","'(W ambiguous) A subroutine you have declared has the same name as a Perl keyword, and you have used the","'96.70756531"
"'1","'LINE","'name without qualification for calling one or the other. Perl decided to call the builtin because the subroutine is not","'99.53315735"
"'1","'LINE","'imported.","'79.81484985"
"'1","'LINE","'To force interpretation as a subroutine call. either put an ampersand before the subroutine name. or qualify the","'97.11190033"
"'1","'LINE","'name with its package. Alternatively, you can import the subroutine (or pretend that it's imported with the use","'98.10935211"
"'1","'LINE","'subs pragma).","'97.88409424"
"'1","'LINE","'To silently interpret it as the Perl operator. use the CORE: : prefix on the operator (e.g. CORE::1og($x)) or declare","'96.30865479"
"'1","'LINE","'the subroutine to be an object method (see Subroutine Attributes in perlsub or attributes).","'99.33644104"
"'1","'LINE","'Ambiguous range in transliteration operator","'99.35005188"
"'1","'LINE","'(F) You wrote something like tr/a-z-0// which doesn't mean anything at all. To include a - character in a","'98.47653198"
"'1","'LINE","'transliteration, put it either first or last. (In the past. tr/a-z-0// was synonymous with tr/a-y//. which was","'94.74205017"
"'1","'LINE","'probably not what you would have expected.)","'99.93524933"
"'1","'LINE","'Ambiguous use of %s resolved as %s","'99.05314636"
"'1","'LINE","'(W ambiguous)(S) You said something that may not be interpreted the way you thought. Normally it's pretty easy","'97.72563934"
"'1","'LINE","'to disambiguate it by supplying a missing quote, operator, parenthesis pair or declaration.","'94.07814789"
"'1","'LINE","''l' and '<' may not both be specified on command line","'95.87376404"
"'1","'LINE","'(F) An error peculiar to VMS. Perl does its own command line redirection. and found that STDIN was a pipe, and","'96.34233856"
"'1","'LINE","'that you also tried to redirect STDIN using '<'. Only one STDIN stream to a customer. please.","'97.56516266"
"'1","'LINE","''l' and '>' may not both be specified on command line","'94.25047302"
"'1","'LINE","'(F) An error peculiar to VMS. Perl does its own command line redirection. and thinks you tried to redirect stdout","'98.12177277"
"'1","'LINE","'both to a file and into a pipe to another command You need to choose one or the other, though nothing's stopping","'98.29789734"
"'1","'LINE","'you from piping into a program or Perl script which 'splits' output into two streams, such as","'96.92581177"
"'1","'LINE","'pen(OUT, "">SARGV[0]"") or die ""Can't write to SARGV[0] $1"":","'86.50748444"
"'1","'LINE","'while (<STDIN>) {","'96.40962219"
"'1","'LINE","'print;","'78.90512085"
"'1","'LINE","'print OUT:","'98.14612579"
"'1","'LINE","'}","'98.09260559"
"'1","'LINE","'close OUT:","'90.08387756"
"'1","'LINE","'Applying %s to %s will act on scalar(%s)","'97.57933044"
"'1","'LINE","'(W misc) The pattern match (//). substitution (s///). and transliteration (tr///) operators work on scalar values.","'90.55408478"
"'1","'LINE","'If you apply one of them to an array or a hash. it will convert the array or hash to a scalar value - the length of an","'98.66491699"
"'1","'LINE","'array, or the population info of a hash - and then work on that scalar value. This is probably not what you meant to","'98.87865448"
"'1","'LINE","'do. See grep in perifunc and map in perlfunc for alternatives.","'87.94688416"
"'1","'LINE","'Args must match #! line","'91.54443359"
"'1","'LINE","'(F) The setuid emulator requires that the arguments Perl was invoked with match the arguments specified on the #!","'98.21134186"
"'1","'LINE","'line. Since some systems impose a one-argument limit on the #! line, try combining switches; for example, turn -W","'94.71748352"
"'1","'LINE","'-U into -wU.","'85.90540314"
"'1","'LINE","'Arg too short for msgsnd","'99.76712799"
"'1","'LINE","'(F) msgsnd() requires a string at least as long as sizeof(long).","'99.49134827"
"'1","'LINE","'%s argument is not a HASH or ARRAY element","'99.44254303"
"'1","'LINE","'(F) The argument to exists() must be a hash or array element, such as:","'99.17944336"
"'1","'LINE","'$foo{$bar}","'97.63283539"
"'1","'LINE","'$ref->{""susie""} [12]","'73.67471313"
"'1","'LINE","'584","'99.88955688"
